Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Fernando Álvez,Uruguay,1,GK, (1959-09-04),15,,Peñarol,Uruguay,1990-06-08
Nelson Gutiérrez,Uruguay,2,DF, (1962-04-13),53,,Hellas Verona,Italy,1990-06-08
Hugo de León,Uruguay,3,DF, (1958-02-27),44,,River Plate,Argentina,1990-06-08
José Oscar Herrera,Uruguay,4,DF, (1965-06-17),27,,Figueres,Spain,1990-06-08
José Perdomo,Uruguay,5,MF, (1965-01-05),23,,Genoa,Italy,1990-06-08
Alfonso Domínguez,Uruguay,6,DF, (1965-09-24),27,,Peñarol,Uruguay,1990-06-08
Antonio Alzamendi,Uruguay,7,FW, (1956-06-07),28,,Logroñés,Spain,1990-06-08
Santiago Ostolaza,Uruguay,8,MF, (1962-07-10),25,,Cruz Azul,Mexico,1990-06-08
Enzo Francescoli (c),Uruguay,9,FW, (1961-11-12),42,,Marseille,France,1990-06-08
Rubén Paz,Uruguay,10,MF, (1959-08-08),42,,Genoa,Italy,1990-06-08
Rubén Sosa,Uruguay,11,FW, (1966-04-25),27,,Lazio,Italy,1990-06-08
Eduardo Pereira,Uruguay,12,GK, (1954-03-21),10,,Independiente,Argentina,1990-06-08
Daniel Revelez,Uruguay,13,DF, (1959-09-30),12,,Nacional,Uruguay,1990-06-08
José Pintos Saldanha,Uruguay,14,DF, (1964-03-25),9,,Nacional,Uruguay,1990-06-08
Gabriel Correa,Uruguay,15,MF, (1968-01-13),18,,Peñarol,Uruguay,1990-06-08
Pablo Bengoechea,Uruguay,16,MF, (1965-06-27),17,,Sevilla,Spain,1990-06-08
Sergio Martínez,Uruguay,17,FW, (1969-02-15),14,,Defensor Sporting,Uruguay,1990-06-08
Carlos Aguilera,Uruguay,18,FW, (1964-09-21),50,,Genoa,Italy,1990-06-08
Daniel Fonseca,Uruguay,19,FW, (1969-09-13),4,,Nacional,Uruguay,1990-06-08
Ruben Pereira,Uruguay,20,MF, (1968-01-28),18,,Danubio,Uruguay,1990-06-08
William Castro,Uruguay,21,MF, (1962-05-22),8,,Nacional,Uruguay,1990-06-08
Javier Zeoli,Uruguay,22,GK, (1962-05-02),14,,Tenerife,Spain,1990-06-08
