Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Joseph-Antoine Bell,Cameroon,1,GK, (1954-10-08),3,,Bordeaux,France
André Kana-Biyik,Cameroon,2,DF, (1965-09-01),41,,Metz,France
Jules Onana,Cameroon,3,MF, (1964-06-12),6,,Canon Yaoundé,Cameroon
Benjamin Massing,Cameroon,4,DF, (1962-06-20),0,,Créteil,France
Bertin Ebwellé,Cameroon,5,DF, (1962-09-11),16,,Tonnerre Yaoundé,Cameroon
Emmanuel Kundé,Cameroon,6,DF, (1956-07-15),82,,Prévoyance Yaoundé,Cameroon
François Omam-Biyik,Cameroon,7,FW, (1966-05-21),34,,Stade Lavallois,France
Émile Mbouh,Cameroon,8,MF, (1966-05-30),38,,Chênois,Switzerland
Roger Milla,Cameroon,9,FW, (1952-05-20),56,,JS Saint-Pierroise,Réunion
Louis-Paul M'Fédé,Cameroon,10,MF, (1961-02-26),40,,Canon Yaoundé,Cameroon
Eugène Ekéké,Cameroon,11,FW, (1960-05-30),2,,Valenciennes,France
Alphonse Yombi,Cameroon,12,DF, (1969-06-30),?,,Canon Yaoundé,Cameroon
Jean-Claude Pagal,Cameroon,13,DF, (1964-09-15),0,,La Roche Vendée,France
Stephen Tataw (c),Cameroon,14,DF, (1963-03-31),29,,Tonnerre Yaoundé,Cameroon
Thomas Libiih,Cameroon,15,MF, (1967-11-17),0,,Tonnerre Yaoundé,Cameroon
Thomas N'Kono,Cameroon,16,GK, (1956-07-20),57,,Espanyol,Spain
Victor N'Dip,Cameroon,17,DF, (1967-08-20),16,,Canon Yaoundé,Cameroon
Bonaventure Djonkep,Cameroon,18,FW, (1961-08-20),49,,Union Douala,Cameroon
Roger Feutmba,Cameroon,19,MF, (1968-10-31),0,,Union Douala,Cameroon
Cyrille Makanaky,Cameroon,20,MF, (1965-06-28),0,,Toulon,France
Emmanuel Maboang,Cameroon,21,MF, (1968-11-27),0,,Canon Yaoundé,Cameroon
Jacques Songo'o,Cameroon,22,GK, (1964-03-17),38,,Toulon,France
