Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Klaus Lindenberger,Austria,1,GK, (1957-05-28),37,,Swarovski Tirol,Austria
Ernst Aigner,Austria,2,DF, (1966-10-31),7,,Austria Vienna,Austria
Robert Pecl,Austria,3,DF, (1965-11-15),19,,Rapid Vienna,Austria
Anton Pfeffer,Austria,4,DF, (1965-08-17),21,,Austria Vienna,Austria
Peter Schöttel,Austria,5,DF, (1967-03-26),11,,Rapid Vienna,Austria
Manfred Zsak,Austria,6,MF, (1964-12-22),28,,Austria Vienna,Austria
Kurt Russ,Austria,7,DF, (1964-11-23),20,,First Vienna FC,Austria
Peter Artner,Austria,8,DF, (1966-05-20),21,,Admira Wacker,Austria
Toni Polster (c),Austria,9,FW, (1964-03-10),36,,Sevilla,Spain
Manfred Linzmaier,Austria,10,MF, (1962-08-27),19,,Swarovski Tirol,Austria
Alfred Hörtnagl,Austria,11,MF, (1966-09-24),10,,Swarovski Tirol,Austria
Michael Baur,Austria,12,MF, (1969-04-16),1,,Swarovski Tirol,Austria
Andreas Ogris,Austria,13,FW, (1964-10-07),28,,Austria Vienna,Austria
Gerhard Rodax,Austria,14,FW, (1965-08-29),16,,Admira Wacker,Austria
Christian Keglevits,Austria,15,FW, (1961-01-29),15,,Rapid Vienna,Austria
Andreas Reisinger,Austria,16,MF, (1963-10-14),6,,Rapid Vienna,Austria
Heimo Pfeifenberger,Austria,17,FW, (1966-12-29),3,,Rapid Vienna,Austria
Michael Streiter,Austria,18,DF, (1966-01-19),8,,Swarovski Tirol,Austria
Gerald Glatzmayer,Austria,19,MF, (1968-12-14),5,,First Vienna FC,Austria
Andi Herzog,Austria,20,MF, (1968-09-10),16,,Rapid Vienna,Austria
Michael Konsel,Austria,21,GK, (1962-03-06),5,,Rapid Vienna,Austria
Otto Konrad,Austria,22,GK, (1964-11-01),2,,Sturm Graz,Austria
