Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Moeneeb Josephs,South Africa,1,GK, (1980-05-19),17,,Orlando Pirates,South Africa,2010-06-11
Siboniso Gaxa,South Africa,2,DF, (1984-04-06),37,,Mamelodi Sundowns,South Africa,2010-06-11
Tsepo Masilela,South Africa,3,DF, (1985-05-05),31,,Maccabi Haifa,Israel,2010-06-11
Aaron Mokoena (c),South Africa,4,DF, (1980-11-25),101,,Portsmouth,England,2010-06-11
Anele Ngcongca,South Africa,5,DF, (1987-10-20),5,,Genk,Belgium,2010-06-11
MacBeth Sibaya,South Africa,6,MF, (1977-11-25),58,,Rubin Kazan,Russia,2010-06-11
Lance Davids,South Africa,7,MF, (1985-04-11),22,,Ajax Cape Town,South Africa,2010-06-11
Siphiwe Tshabalala,South Africa,8,MF, (1984-09-25),48,,Kaizer Chiefs,South Africa,2010-06-11
Katlego Mphela,South Africa,9,FW, (1984-11-29),31,,Mamelodi Sundowns,South Africa,2010-06-11
Steven Pienaar,South Africa,10,MF, (1982-03-17),50,,Everton,England,2010-06-11
Teko Modise,South Africa,11,MF, (1982-12-22),52,,Orlando Pirates,South Africa,2010-06-11
Reneilwe Letsholonyane,South Africa,12,MF, (1982-06-09),13,,Kaizer Chiefs,South Africa,2010-06-11
Kagisho Dikgacoi,South Africa,13,MF, (1984-11-24),37,,Fulham,England,2010-06-11
Matthew Booth,South Africa,14,DF, (1977-03-14),27,,Mamelodi Sundowns,South Africa,2010-06-11
Lucas Thwala,South Africa,15,DF, (1981-10-19),24,,Orlando Pirates,South Africa,2010-06-11
Itumeleng Khune,South Africa,16,GK, (1987-06-20),27,,Kaizer Chiefs,South Africa,2010-06-11
Bernard Parker,South Africa,17,FW, (1986-03-16),28,,Twente,Netherlands,2010-06-11
Siyabonga Nomvethe,South Africa,18,FW, (1977-12-02),76,,Moroka Swallows,South Africa,2010-06-11
Surprise Moriri,South Africa,19,MF, (1980-03-20),34,,Mamelodi Sundowns,South Africa,2010-06-11
Bongani Khumalo,South Africa,20,DF, (1987-01-06),14,,Supersport United,South Africa,2010-06-11
Siyabonga Sangweni,South Africa,21,DF, (1981-09-29),8,,Golden Arrows,South Africa,2010-06-11
Shu-Aib Walters,South Africa,22,GK, (1981-12-26),0,,Maritzburg United,South Africa,2010-06-11
Thanduyise Khuboni,South Africa,23,MF, (1986-05-23),9,,Golden Arrows,South Africa,2010-06-11
