Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Lee Woon-jae,South Korea,1,GK, (1973-04-26),130,,Suwon Samsung Bluewings,South Korea,2010-06-11
Oh Beom-seok,South Korea,2,DF, (1984-07-29),37,,Ulsan Hyundai,South Korea,2010-06-11
Kim Hyung-il,South Korea,3,DF, (1984-04-27),2,,Pohang Steelers,South Korea,2010-06-11
Cho Yong-hyung,South Korea,4,DF, (1983-11-03),31,,Jeju United,South Korea,2010-06-11
Kim Nam-il,South Korea,5,MF, (1977-03-14),92,,Tom Tomsk,Russia,2010-06-11
Kim Bo-kyung,South Korea,6,MF, (1989-10-06),6,,Oita Trinita,Japan,2010-06-11
Park Ji-sung (c),South Korea,7,MF, (1981-02-25),88,,Manchester United,England,2010-06-11
Kim Jung-woo,South Korea,8,MF, (1982-05-09),54,,Gwangju Sangmu,South Korea,2010-06-11
Ahn Jung-hwan,South Korea,9,FW, (1976-01-27),70,,Dalian Shide,China,2010-06-11
Park Chu-young,South Korea,10,FW, (1985-07-10),40,,Monaco,France,2010-06-11
Lee Seung-yeoul,South Korea,11,FW, (1989-03-06),8,,FC Seoul,South Korea,2010-06-11
Lee Young-pyo,South Korea,12,DF, (1977-04-23),112,,Al Hilal,Saudi Arabia,2010-06-11
Kim Jae-sung,South Korea,13,MF, (1983-10-03),7,,Pohang Steelers,South Korea,2010-06-11
Lee Jung-soo,South Korea,14,DF, (1980-01-08),24,,Kashima Antlers,Japan,2010-06-11
Kim Dong-jin,South Korea,15,DF, (1982-01-29),61,,Ulsan Hyundai,South Korea,2010-06-11
Ki Sung-yueng,South Korea,16,MF, (1989-01-24),21,,Celtic,Scotland,2010-06-11
Lee Chung-yong,South Korea,17,FW, (1988-07-02),23,,Bolton Wanderers,England,2010-06-11
Jung Sung-ryong,South Korea,18,GK, (1985-01-04),15,,Seongnam Ilhwa Chunma,South Korea,2010-06-11
Yeom Ki-hun,South Korea,19,FW, (1983-03-30),33,,Suwon Samsung Bluewings,South Korea,2010-06-11
Lee Dong-gook,South Korea,20,FW, (1979-04-29),83,,Jeonbuk Hyundai Motors,South Korea,2010-06-11
Kim Young-kwang,South Korea,21,GK, (1983-06-28),14,,Ulsan Hyundai,South Korea,2010-06-11
Cha Du-ri,South Korea,22,DF, (1980-07-25),46,,SC Freiburg,Germany,2010-06-11
Kang Min-soo,South Korea,23,DF, (1986-02-14),31,,Suwon Samsung Bluewings,South Korea,2010-06-11
