Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ricardo Canales,Honduras,1,GK, (1982-05-30),2,,Motagua,Honduras,2010-06-11
Osman Chávez,Honduras,2,DF, (1984-07-29),26,,Platense,Honduras,2010-06-11
Maynor Figueroa,Honduras,3,DF, (1983-05-02),66,,Wigan Athletic,England,2010-06-11
Johnny Palacios,Honduras,4,DF, (1986-12-20),4,,Olimpia,Honduras,2010-06-11
Víctor Bernárdez,Honduras,5,DF, (1982-05-24),40,,Anderlecht,Belgium,2010-06-11
Hendry Thomas,Honduras,6,MF, (1985-02-23),39,,Wigan Athletic,England,2010-06-11
Ramón Núñez,Honduras,7,MF, (1984-11-14),16,,Olimpia,Honduras,2010-06-11
Wilson Palacios,Honduras,8,MF, (1984-07-29),69,,Tottenham Hotspur,England,2010-06-11
Carlos Pavón,Honduras,9,FW, (1973-10-19),98,,Real España,Honduras,2010-06-11
Jerry Palacios[11],Honduras,10,FW, (1982-11-01),11,,Hangzhou Greentown,China,2010-06-11
David Suazo,Honduras,11,FW, (1979-11-05),50,,Genoa,Italy,2010-06-11
Georgie Welcome,Honduras,12,FW, (1985-03-09),11,,Motagua,Honduras,2010-06-11
Roger Espinoza,Honduras,13,FW, (1986-10-25),10,,Kansas City Wizards,United States,2010-06-11
Boniek García,Honduras,14,DF, (1984-09-04),42,,Olimpia,Honduras,2010-06-11
Walter Martínez,Honduras,15,FW, (1982-03-29),34,,Marathón,Honduras,2010-06-11
Mauricio Sabillón,Honduras,16,DF, (1978-11-11),25,,Hangzhou Greentown,China,2010-06-11
Édgar Álvarez,Honduras,17,MF, (1980-01-09),46,,Bari,Italy,2010-06-11
Noel Valladares,Honduras,18,GK, (1977-05-03),71,,Olimpia,Honduras,2010-06-11
Danilo Turcios,Honduras,19,MF, (1978-05-08),82,,Olimpia,Honduras,2010-06-11
Amado Guevara (c),Honduras,20,MF, (1976-05-02),133,,Motagua,Honduras,2010-06-11
Emilio Izaguirre,Honduras,21,DF, (1986-05-10),39,,Motagua,Honduras,2010-06-11
Donis Escober,Honduras,22,GK, (1981-02-03),11,,Olimpia,Honduras,2010-06-11
Sergio Mendoza,Honduras,23,DF, (1981-05-23),46,,Motagua,Honduras,2010-06-11
