Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Mark Schwarzer,Australia,1,GK, (1972-10-06),75,,Fulham,England,2010-06-11
Lucas Neill (c),Australia,2,DF, (1978-03-09),56,,Galatasaray,Turkey,2010-06-11
Craig Moore,Australia,3,DF, (1975-12-12),50,,Unattached,,2010-06-11
Tim Cahill,Australia,4,MF, (1979-12-06),40,,Everton,England,2010-06-11
Jason Culina,Australia,5,MF, (1980-08-05),49,,Gold Coast United,Australia,2010-06-11
Michael Beauchamp,Australia,6,DF, (1981-03-08),21,,Al Jazira,United Arab Emirates,2010-06-11
Brett Emerton,Australia,7,MF, (1979-02-22),72,,Blackburn Rovers,England,2010-06-11
Luke Wilkshire,Australia,8,DF, (1981-10-01),42,,Dynamo Moscow,Russia,2010-06-11
Joshua Kennedy,Australia,9,FW, (1982-08-20),19,,Nagoya Grampus,Japan,2010-06-11
Harry Kewell,Australia,10,FW, (1978-09-22),45,,Galatasaray,Turkey,2010-06-11
Scott Chipperfield,Australia,11,DF, (1975-12-30),65,,Basel,Switzerland,2010-06-11
Adam Federici,Australia,12,GK, (1985-01-31),1,,Reading,England,2010-06-11
Vince Grella,Australia,13,MF, (1979-10-05),45,,Blackburn Rovers,England,2010-06-11
Brett Holman,Australia,14,FW, (1984-03-27),31,,AZ,Netherlands,2010-06-11
Mile Jedinak,Australia,15,MF, (1984-08-03),11,,Antalyaspor,Turkey,2010-06-11
Carl Valeri,Australia,16,MF, (1984-08-14),22,,Sassuolo,Italy,2010-06-11
Nikita Rukavytsya,Australia,17,FW, (1987-06-22),3,,Roeselare,Belgium,2010-06-11
Eugene Galekovic[6],Australia,18,GK, (1981-06-12),4,,Adelaide United,Australia,2010-06-11
Richard Garcia,Australia,19,MF, (1981-09-04),7,,Hull City,England,2010-06-11
Mark Milligan,Australia,20,DF, (1985-09-04),10,,JEF United,Japan,2010-06-11
David Carney,Australia,21,DF, (1983-11-30),25,,Twente,Netherlands,2010-06-11
Dario Vidošić,Australia,22,MF, (1987-04-12),7,,MSV Duisburg,Germany,2010-06-11
Mark Bresciano,Australia,23,MF, (1980-02-11),55,,Palermo,Italy,2010-06-11
