Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Lounès Gaouaoui,Algeria,1,GK, (1977-09-28),48,,ASO Chlef,Algeria,2010-06-11
Madjid Bougherra,Algeria,2,DF, (1982-10-07),41,,Rangers,Scotland,2010-06-11
Nadir Belhadj,Algeria,3,DF, (1982-06-18),45,,Portsmouth,England,2010-06-11
Antar Yahia (c),Algeria,4,DF, (1982-03-21),44,,VfL Bochum,Germany,2010-06-11
Rafik Halliche,Algeria,5,DF, (1986-09-02),17,,Nacional,Portugal,2010-06-11
Yazid Mansouri,Algeria,6,MF, (1978-02-25),67,,Lorient,France,2010-06-11
Ryad Boudebouz,Algeria,7,MF, (1990-02-19),2,,Sochaux,France,2010-06-11
Mehdi Lacen,Algeria,8,MF, (1984-01-05),3,,Racing Santander,Spain,2010-06-11
Abdelkader Ghezzal,Algeria,9,FW, (1984-12-05),19,,Siena,Italy,2010-06-11
Rafik Saïfi,Algeria,10,FW, (1975-02-07),62,,Istres,France,2010-06-11
Rafik Djebbour,Algeria,11,FW, (1984-03-08),16,,AEK Athens,Greece,2010-06-11
Habib Bellaïd,Algeria,12,DF, (1986-03-28),1,,Eintracht Frankfurt,Germany,2010-06-11
Karim Matmour,Algeria,13,FW, (1985-06-25),23,,Borussia Mönchengladbach,Germany,2010-06-11
Abdelkader Laïfaoui,Algeria,14,DF, (1981-07-29),7,,ES Sétif,Algeria,2010-06-11
Karim Ziani,Algeria,15,MF, (1982-08-17),55,,VfL Wolfsburg,Germany,2010-06-11
Faouzi Chaouchi,Algeria,16,GK, (1984-12-05),10,,ES Sétif,Algeria,2010-06-11
Adlène Guedioura,Algeria,17,MF, (1985-11-12),2,,Wolverhampton Wanderers,England,2010-06-11
Carl Medjani,Algeria,18,DF, (1985-05-15),0,,Ajaccio,France,2010-06-11
Hassan Yebda,Algeria,19,MF, (1984-04-14),9,,Portsmouth,England,2010-06-11
Djamel Mesbah,Algeria,20,DF, (1984-10-09),1,,Lecce,Italy,2010-06-11
Foued Kadir,Algeria,21,MF, (1983-12-05),2,,Valenciennes,France,2010-06-11
Djamel Abdoun,Algeria,22,MF, (1986-02-14),7,,Nantes,France,2010-06-11
Raïs M'Bolhi,Algeria,23,GK, (1986-04-25),1,,Slavia Sofia,Bulgaria,2010-06-11
