Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Kostas Chalkias,Greece,1,GK, (1974-05-30),27,,PAOK,Greece,2010-06-11
Giourkas Seitaridis,Greece,2,DF, (1981-06-04),69,,Panathinaikos,Greece,2010-06-11
Christos Patsatzoglou,Greece,3,DF, (1979-03-19),43,,Omonia,Cyprus,2010-06-11
Nikos Spyropoulos,Greece,4,DF, (1983-10-10),19,,Panathinaikos,Greece,2010-06-11
Vangelis Moras,Greece,5,DF, (1981-08-18),11,,Bologna,Italy,2010-06-11
Alexandros Tziolis,Greece,6,MF, (1985-02-13),19,,Siena,Italy,2010-06-11
Georgios Samaras,Greece,7,FW, (1985-02-21),34,,Celtic,Scotland,2010-06-11
Avraam Papadopoulos,Greece,8,DF, (1984-12-03),14,,Olympiacos,Greece,2010-06-11
Angelos Charisteas,Greece,9,FW, (1980-02-09),84,,1. FC Nürnberg,Germany,2010-06-11
Giorgos Karagounis (c),Greece,10,MF, (1977-03-06),93,,Panathinaikos,Greece,2010-06-11
Loukas Vyntra,Greece,11,DF, (1981-02-05),29,,Panathinaikos,Greece,2010-06-11
Alexandros Tzorvas,Greece,12,GK, (1982-08-12),8,,Panathinaikos,Greece,2010-06-11
Michalis Sifakis,Greece,13,GK, (1984-09-09),2,,Aris,Greece,2010-06-11
Dimitris Salpingidis,Greece,14,FW, (1981-08-18),36,,Panathinaikos,Greece,2010-06-11
Vasilis Torosidis,Greece,15,DF, (1985-06-10),26,,Olympiacos,Greece,2010-06-11
Sotirios Kyrgiakos,Greece,16,DF, (1979-07-23),58,,Liverpool,England,2010-06-11
Theofanis Gekas,Greece,17,FW, (1980-05-23),47,,Hertha BSC,Germany,2010-06-11
Sotiris Ninis,Greece,18,MF, (1990-04-03),4,,Panathinaikos,Greece,2010-06-11
Sokratis Papastathopoulos,Greece,19,DF, (1988-06-09),10,,Genoa,Italy,2010-06-11
Pantelis Kapetanos,Greece,20,FW, (1983-06-08),3,,Steaua București,Romania,2010-06-11
Kostas Katsouranis,Greece,21,MF, (1979-06-21),69,,Panathinaikos,Greece,2010-06-11
Stelios Malezas,Greece,22,DF, (1985-03-11),0,,PAOK,Greece,2010-06-11
Sakis Prittas,Greece,23,MF, (1979-01-09),0,,Aris,Greece,2010-06-11
