Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Daniel Agyei,Ghana,1,GK, (1989-11-10),2,,Liberty Professionals,Ghana,2010-06-11
Hans Sarpei,Ghana,2,DF, (1976-06-28),23,,Bayer Leverkusen,Germany,2010-06-11
Asamoah Gyan,Ghana,3,FW, (1985-11-22),32,,Rennes,France,2010-06-11
John Paintsil,Ghana,4,DF, (1981-06-15),65,,Fulham,England,2010-06-11
John Mensah (c),Ghana,5,DF, (1982-11-29),58,,Sunderland,England,2010-06-11
Anthony Annan,Ghana,6,MF, (1986-07-21),38,,Rosenborg,Norway,2010-06-11
Samuel Inkoom,Ghana,7,DF, (1989-06-01),15,,Basel,Switzerland,2010-06-11
Jonathan Mensah,Ghana,8,DF, (1990-07-13),3,,Granada,Spain,2010-06-11
Derek Boateng,Ghana,9,MF, (1983-05-02),19,,Getafe,Spain,2010-06-11
Stephen Appiah,Ghana,10,MF, (1980-12-24),56,,Bologna,Italy,2010-06-11
Sulley Muntari,Ghana,11,MF, (1984-08-27),52,,Inter Milan,Italy,2010-06-11
Prince Tagoe,Ghana,12,FW, (1986-11-09),17,,1899 Hoffenheim,Germany,2010-06-11
André Ayew,Ghana,13,MF, (1989-12-17),15,,Arles-Avignon,France,2010-06-11
Matthew Amoah,Ghana,14,FW, (1980-10-24),31,,NAC,Netherlands,2010-06-11
Isaac Vorsah,Ghana,15,DF, (1988-06-21),6,,1899 Hoffenheim,Germany,2010-06-11
Stephen Ahorlu,Ghana,16,GK, (1988-09-05),0,,Heart of Lions,Ghana,2010-06-11
Ibrahim Ayew,Ghana,17,DF, (1988-04-16),6,,Zamalek,Egypt,2010-06-11
Dominic Adiyiah,Ghana,18,FW, (1989-11-29),4,,Milan,Italy,2010-06-11
Lee Addy,Ghana,19,DF, (1985-09-26),3,,Bechem Chelsea,Ghana,2010-06-11
Quincy Owusu-Abeyie,Ghana,20,MF, (1986-04-15),12,,Al Sadd,Qatar,2010-06-11
Kwadwo Asamoah,Ghana,21,MF, (1988-12-09),29,,Udinese,Italy,2010-06-11
Richard Kingson,Ghana,22,GK, (1978-06-13),58,,Wigan Athletic,England,2010-06-11
Kevin-Prince Boateng,Ghana,23,MF, (1987-03-06),0,,Portsmouth,England,2010-06-11
