Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ri Myong-guk,North Korea,1,GK, (1986-09-09),28,,Pyongyang City,North Korea,2010-06-11
Cha Jong-hyok,North Korea,2,DF, (1985-09-25),31,,Amrokgang,North Korea,2010-06-11
Ri Jun-il,North Korea,3,DF, (1987-08-24),26,,Sobaeksu,North Korea,2010-06-11
Pak Nam-chol,North Korea,4,MF, (1985-07-02),35,,April 25,North Korea,2010-06-11
Ri Kwang-chon,North Korea,5,DF, (1985-09-04),41,,April 25,North Korea,2010-06-11
Kim Kum-il,North Korea,6,FW, (1987-10-10),11,,April 25,North Korea,2010-06-11
An Chol-hyok,North Korea,7,FW, (1987-06-27),16,,Rimyongsu,North Korea,2010-06-11
Ji Yun-nam,North Korea,8,DF, (1976-11-20),23,,April 25,North Korea,2010-06-11
Jong Tae-se,North Korea,9,FW, (1984-03-02),20,,Kawasaki Frontale,Japan,2010-06-11
Hong Yong-jo (c),North Korea,10,FW, (1982-05-22),40,,Rostov,Russia,2010-06-11
Mun In-guk,North Korea,11,MF, (1978-09-29),42,,April 25,North Korea,2010-06-11
Choe Kum-chol,North Korea,12,FW, (1987-02-09),16,,April 25,North Korea,2010-06-11
Pak Chol-jin,North Korea,13,DF, (1985-09-05),34,,Amrokgang,North Korea,2010-06-11
Pak Nam-Chol,North Korea,14,DF, (1988-10-03),12,,Amrokgang,North Korea,2010-06-11
Kim Yong-jun,North Korea,15,MF, (1983-07-19),52,,Pyongyang City,North Korea,2010-06-11
Nam Song-chol,North Korea,16,DF, (1982-05-07),41,,April 25,North Korea,2010-06-11
An Yong-hak,North Korea,17,MF, (1978-10-25),24,,Omiya Ardija,Japan,2010-06-11
Kim Myong-gil,North Korea,18,GK, (1984-10-16),10,,Amrokgang,North Korea,2010-06-11
Ri Chol-myong,North Korea,19,MF, (1988-02-18),10,,Pyongyang City,North Korea,2010-06-11
Kim Myong-won[9],North Korea,20,GK, (1983-07-15),9,,Amrokgang,North Korea,2010-06-11
Ri Kwang-hyok,North Korea,21,DF, (1987-08-17),15,,Kyonggongop,North Korea,2010-06-11
Kim Kyong-il,North Korea,22,MF, (1988-12-11),7,,Rimyongsu,North Korea,2010-06-11
Pak Sung-hyok,North Korea,23,DF, (1990-05-30),3,,Sobaeksu,North Korea,2010-06-11
