Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Ottorino Sartor,Peru,1,GK, (1945-09-18),12,,Colegio Nacional de Iquitos,Peru,1978-06-01
Jaime Duarte,Peru,2,DF, (1955-02-27),0,,Alianza Lima,Peru,1978-06-01
Rodolfo Manzo,Peru,3,DF, (1949-06-05),16,,Deportivo Municipal,Peru,1978-06-01
Héctor Chumpitaz (c),Peru,4,DF, (1944-04-12),85,,Sporting Cristal,Peru,1978-06-01
Rubén Toribio Díaz,Peru,5,DF, (1952-04-17),36,,Sporting Cristal,Peru,1978-06-01
José Velásquez,Peru,6,MF, (1952-06-04),31,,Alianza Lima,Peru,1978-06-01
Juan Muñante,Peru,7,FW, (1948-06-12),42,,UNAM Pumas,Mexico,1978-06-01
César Cueto,Peru,8,MF, (1952-06-16),1,,Alianza Lima,Peru,1978-06-01
Percy Rojas,Peru,9,MF, (1949-09-16),11,,Sporting Cristal,Peru,1978-06-01
Teófilo Cubillas,Peru,10,MF, (1949-03-08),70,,Alianza Lima,Peru,1978-06-01
Juan Carlos Oblitas,Peru,11,FW, (1951-02-16),32,,Sporting Cristal,Peru,1978-06-01
Roberto Mosquera,Peru,12,FW, (1956-06-21),1,,Sporting Cristal,Peru,1978-06-01
Juan Cáceres,Peru,13,GK, (1949-12-27),1,,Alianza Lima,Peru,1978-06-01
José Navarro,Peru,14,DF, (1948-09-24),5,,Sporting Cristal,Peru,1978-06-01
Germán Leguía,Peru,15,MF, (1954-01-02),0,,Deportivo Municipal,Peru,1978-06-01
Raúl Gorriti,Peru,16,MF, (1956-10-10),1,,Sporting Cristal,Peru,1978-06-01
Alfredo Quesada,Peru,17,MF, (1949-09-22),48,,Sporting Cristal,Peru,1978-06-01
Ernesto Labarthe,Peru,18,MF, (1956-06-02),0,,Sport Boys,Peru,1978-06-01
Guillermo La Rosa,Peru,19,FW, (1952-06-06),1,,Alianza Lima,Peru,1978-06-01
Hugo Sotil,Peru,20,FW, (1946-05-18),7,,Alianza Lima,Peru,1978-06-01
Ramón Quiroga,Peru,21,GK, (1950-07-23),2,,Sporting Cristal,Peru,1978-06-01
Roberto Rojas,Peru,22,DF, (1955-10-26),0,,Alianza Lima,Peru,1978-06-01
