Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
"Sadok ""Attouga"" Sassi",Tunisia,1,GK, (1945-11-15),1,,Club Africain,Tunisia,1978-06-01
Mokhtar Dhouieb,Tunisia,2,DF, (1952-03-23),2,,CS Sfaxien,Tunisia,1978-06-01
Ali Kaabi,Tunisia,3,DF, (1953-11-15),2,,COT Tunis,Tunisia,1978-06-01
Khaled Gasmi,Tunisia,4,MF, (1953-04-08),2,,CA Bizertin,Tunisia,1978-06-01
"Mohsen ""Jendoubi"" Labidi",Tunisia,5,DF, (1954-01-15),2,,Stade Tunis,Tunisia,1978-06-01
Néjib Ghommidh,Tunisia,6,MF, (1953-03-12),2,,Club Africain,Tunisia,1978-06-01
Témime Lahzami (c),Tunisia,7,FW, (1949-01-01),2,,Al-Ittihad,Saudi Arabia,1978-06-01
Hamadi Agrebi,Tunisia,8,MF, (1951-03-20),1,,CS Sfaxien,Tunisia,1978-06-01
Mohamed Akid,Tunisia,9,FW, (1949-07-05),2,,CS Sfaxien,Tunisia,1978-06-01
Tarak Dhiab,Tunisia,10,MF, (1954-07-15),4,,Espérance,Tunisia,1978-06-01
Abderraouf Ben Aziza,Tunisia,11,FW, (1953-09-23),2,,Étoile Sportive du Sahel,Tunisia,1978-06-01
Khemais Labidi,Tunisia,12,MF, (1950-08-30),2,,JS Kairouan,Tunisia,1978-06-01
Néjib Limam,Tunisia,13,FW, (1953-06-12),1,,Stade Tunis,Tunisia,1978-06-01
Slah Karoui,Tunisia,14,FW, (1951-09-11),0,,Étoile Sportive du Sahel,Tunisia,1978-06-01
Mohamed Ben Moussa,Tunisia,15,FW, (1954-04-05),?,,Club Africain,Tunisia,1978-06-01
Ohman Chehaibi,Tunisia,16,FW, (1954-12-23),?,,JS Kairouan,Tunisia,1978-06-01
Ridha El Louze,Tunisia,17,DF, (1953-04-27),?,,Sfax Railways Sports,Tunisia,1978-06-01
Kamel Chebli,Tunisia,18,DF, (1954-03-09),1,,Club Africain,Tunisia,1978-06-01
Mokhtar Hasni,Tunisia,19,FW, (1952-03-19),1,,La Louviére,Belgium,1978-06-01
Amor Jebali,Tunisia,20,DF, (1956-12-24),1,,AS Marsa,Tunisia,1978-06-01
Lamine Ben Aziza,Tunisia,21,GK, (1952-11-10),?,,Étoile Sportive du Sahel,Tunisia,1978-06-01
Mokhtar Naili,Tunisia,22,GK, (1953-09-03),1,,Club Africain,Tunisia,1978-06-01
