Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Sándor Gujdár,Hungary,1,GK, (1951-11-08),19,,Budapest Honvéd,Hungary,1978-06-01
Péter Török,Hungary,2,DF, (1951-04-18),29,,Vasas,Hungary,1978-06-01
István Kocsis,Hungary,3,DF, (1949-10-06),6,,Budapest Honvéd,Hungary,1978-06-01
József Tóth,Hungary,4,MF, (1951-12-02),25,,Újpesti Dózsa,Hungary,1978-06-01
Sándor Zombori,Hungary,5,MF, (1951-10-31),16,,Vasas,Hungary,1978-06-01
Zoltán Kereki (c),Hungary,6,DF, (1953-07-13),24,,Haladás,Hungary,1978-06-01
László Fazekas,Hungary,7,FW, (1947-10-15),71,,Újpesti Dózsa,Hungary,1978-06-01
Tibor Nyilasi,Hungary,8,FW, (1955-01-18),26,,Ferencváros,Hungary,1978-06-01
András Törőcsik,Hungary,9,FW, (1955-05-01),11,,Újpesti Dózsa,Hungary,1978-06-01
Sándor Pintér,Hungary,10,MF, (1950-07-18),32,,Budapest Honvéd,Hungary,1978-06-01
Béla Várady,Hungary,11,FW, (1953-04-12),28,,Vasas,Hungary,1978-06-01
Győző Martos,Hungary,12,DF, (1949-12-15),11,,Ferencváros,Hungary,1978-06-01
Károly Csapó,Hungary,13,MF, (1952-02-23),5,,Tatabányai,Hungary,1978-06-01
László Bálint,Hungary,14,DF, (1948-02-01),54,,Ferencváros,Hungary,1978-06-01
Tibor Rab,Hungary,15,DF, (1955-10-02),11,,Ferencváros,Hungary,1978-06-01
István Halász,Hungary,16,MF, (1951-10-12),3,,Tatabányai,Hungary,1978-06-01
László Pusztai,Hungary,17,FW, (1946-03-01),22,,Ferencváros,Hungary,1978-06-01
László Nagy,Hungary,18,MF, (1949-10-21),21,,Újpesti Dózsa,Hungary,1978-06-01
András Tóth,Hungary,19,FW, (1949-09-05),14,,Újpesti Dózsa,Hungary,1978-06-01
Ferenc Fülöp,Hungary,20,MF, (1955-02-22),0,,MTK,Hungary,1978-06-01
Ferenc Mészáros,Hungary,21,GK, (1950-04-11),13,,Vasas,Hungary,1978-06-01
László Kovács,Hungary,22,GK, (1951-04-24),12,,Videoton,Hungary,1978-06-01
