Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Gil Merrick,England,1,GK, (1922-01-26),20,,Birmingham City,England
Ron Staniforth,England,2,DF, (1924-04-13),3,,Huddersfield Town,England
Roger Byrne,England,3,DF, (1929-09-08),3,,Manchester United,England
Billy Wright (c),England,4,MF, (1924-02-06),58,,Wolverhampton Wanderers,England
Syd Owen,England,5,MF, (1922-02-28),2,,Luton Town,England
Jimmy Dickinson,England,6,MF, (1925-04-24),35,,Portsmouth,England
Stanley Matthews,England,7,FW, (1915-02-01),36,,Blackpool,England
Ivor Broadis,England,8,FW, (1922-12-18),11,,Newcastle United,England
Nat Lofthouse,England,9,FW, (1925-08-27),19,,Bolton Wanderers,England
Tommy Taylor,England,10,FW, (1932-01-29),3,,Manchester United,England
Tom Finney,England,11,FW, (1922-04-05),51,,Preston North End,England
Ted Burgin,England,12,GK, (1927-04-29),0,,Sheffield United,England
Ken Green,England,13,DF, (1924-04-27),0,,Birmingham City,England
Bill McGarry,England,14,MF, (1927-06-10),0,,Huddersfield Town,England
Dennis Wilshaw,England,15,FW, (1926-03-11),1,,Wolverhampton Wanderers,England
Albert Quixall,England,16,MF, (1933-08-09),3,,Sheffield Wednesday,England
Jimmy Mullen,England,17,FW, (1923-01-06),11,,Wolverhampton Wanderers,England
Allenby Chilton*,England,18,MF, (1918-09-16),2,,Manchester United,England
Ken Armstrong*,England,19,MF, (1924-06-03),0,,Chelsea,England
Bedford Jezzard*,England,20,FW, (1927-10-19),1,,Fulham,England
Johnny Haynes*,England,21,FW, (1934-10-17),0,,Fulham,England
Harry Hooper*,England,22,FW, (1933-06-14),0,,West Ham United,England
