Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Vladimir Beara,Yugoslavia,1,GK, (1928-11-02),25,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Branko Stanković,Yugoslavia,2,DF, (1921-10-31),50,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Tomislav Crnković,Yugoslavia,3,DF, (1929-06-17),17,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Zlatko Čajkovski,Yugoslavia,4,MF, (1923-11-24),53,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Ivan Horvat,Yugoslavia,5,DF, (1926-07-16),43,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Vujadin Boškov,Yugoslavia,6,DF, (1931-05-16),22,,Vojvodina Novi Sad,Socialist Federal Republic of Yugoslavia
Tihomir Ognjanov,Yugoslavia,7,FW, (1927-03-02),22,,Spartak Subotica,Socialist Federal Republic of Yugoslavia
Rajko Mitić,Yugoslavia,8,FW, (1922-11-19),47,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Bernard Vukas,Yugoslavia,9,FW, (1927-05-01),35,,Hajduk Split,Socialist Federal Republic of Yugoslavia
Stjepan Bobek (c),Yugoslavia,10,MF, (1923-12-03),53,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Branko Zebec,Yugoslavia,11,FW, (1929-05-17),22,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Branko Kralj,Yugoslavia,12,GK, (1924-03-10),0,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Miljan Zeković,Yugoslavia,13,DF, (1925-11-15),3,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Lav Mantula,Yugoslavia,14,MF, (1928-12-08),0,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Ljubiša Spajić,Yugoslavia,15,MF, (1926-03-07),6,,Red Star Belgrade,Socialist Federal Republic of Yugoslavia
Sima Milovanov,Yugoslavia,16,DF, (1923-04-10),4,,Vojvodina Novi Sad,Socialist Federal Republic of Yugoslavia
Bruno Belin,Yugoslavia,17,DF, (1929-01-16),3,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Miloš Milutinović,Yugoslavia,18,FW, (1933-02-05),8,,Partizan Belgrade,Socialist Federal Republic of Yugoslavia
Zlatko Papec,Yugoslavia,19,MF, (1934-01-17),2,,Lokomotiva Zagreb,Socialist Federal Republic of Yugoslavia
Dionizije Dvornić,Yugoslavia,20,FW, (1926-04-27),3,,Dinamo Zagreb,Socialist Federal Republic of Yugoslavia
Todor Veselinović,Yugoslavia,21,FW, (1930-10-22),4,,Vojvodina Novi Sad,Socialist Federal Republic of Yugoslavia
Aleksandar Petaković,Yugoslavia,22,FW, (1930-02-06),0,,Radnički Belgrade,Socialist Federal Republic of Yugoslavia
