Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Léopold Gernaey,Belgium,1,GK, (1927-02-25),7,,A.S.V. Oostende K.M.,Belgium
Marcel Dries,Belgium,2,DF, (1929-09-19),7,,Berchem Sport,Belgium
Alfons Van Brandt,Belgium,3,DF, (1927-06-24),19,,Lierse,Belgium
Constant Huysmans,Belgium,4,DF, (1928-10-11),5,,Royal Beerschot AC,Belgium
Louis Carré,Belgium,5,MF, (1925-01-07),41,,Royal FC Liegeois,Belgium
Victor Mees,Belgium,6,MF, (1927-01-26),34,,Royal Antwerp FC,Belgium
Jozef Vliers,Belgium,7,MF, (1932-12-18),0,,Royal Beerschot AC,Belgium
Denis Houf,Belgium,8,FW, (1932-02-16),0,,Standard Liège,Belgium
Henri Coppens,Belgium,9,FW, (1930-04-29),26,,Royal Beerschot AC,Belgium
Léopold Anoul,Belgium,10,FW, (1922-08-19),45,,Royal FC Liegeois,Belgium
Joseph Mermans (c),Belgium,11,FW, (1922-02-16),45,,RSC Anderlechtois,Belgium
Charles Geerts,Belgium,12,GK, (1930-10-29),0,,Royal Beerschot AC,Belgium
Henri Dirickx,Belgium,13,DF, (1927-07-07),13,,Union St. Gilloise,Belgium
Robert Van Kerkhoven,Belgium,14,MF, (1924-10-01),5,,Daring Club,Belgium
Hippolyte Van Den Bosch,Belgium,15,FW, (1926-04-30),2,,RSC Anderlechtois,Belgium
Pieter Van Den Bosch,Belgium,16,FW, (1927-10-31),0,,RSC Anderlechtois,Belgium
Raymond Ausloos,Belgium,17,GK, (1928-05-15),0,,White Star,Belgium
Jef Van Der Linden,Belgium,18,DF, (1927-11-02),0,,Royal Antwerp FC,Belgium
Jo Backaert,Belgium,19,MF, (1921-08-05),0,,Charleroi SC,Belgium
Robert Maertens,Belgium,20,MF, (1930-01-24),11,,Royal Antwerp FC,Belgium
Jean Van Steen,Belgium,21,MF, (1929-06-02),5,,RSC Anderlechtois,Belgium
Luc Van Hoyweghen,Belgium,22,FW, (1929-01-07),0,,Daring Club,Belgium
