Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin,World Cup start date
Lev Yashin,Soviet Union,1,GK, (1929-10-22),63,,Dynamo Moscow,Soviet Union,1966-07-11
Viktor Serebryanikov,Soviet Union,2,FW, (1940-03-29),7,,Dynamo Kyiv,Soviet Union,1966-07-11
Leonid Ostrovskiy,Soviet Union,3,DF, (1936-01-17),7,,Dynamo Kyiv,Soviet Union,1966-07-11
Vladimir Ponomaryov,Soviet Union,4,DF, (1940-02-18),16,,CSKA Moscow,Soviet Union,1966-07-11
Valentin Afonin,Soviet Union,5,MF, (1939-12-22),10,,SKA Rostov,Soviet Union,1966-07-11
Albert Shesternyov (captain),Soviet Union,6,DF, (1941-06-20),28,,CSKA Moscow,Soviet Union,1966-07-11
Murtaz Khurtsilava,Soviet Union,7,MF, (1943-01-05),5,,Dinamo Tbilisi,Soviet Union,1966-07-11
Yozhef Sabo,Soviet Union,8,MF, (1940-02-29),10,,Dynamo Kyiv,Soviet Union,1966-07-11
Viktor Getmanov,Soviet Union,9,DF, (1940-05-04),5,,SKA Rostov,Soviet Union,1966-07-11
Vasiliy Danilov,Soviet Union,10,DF, (1941-05-13),13,,Zenit Leningrad,Soviet Union,1966-07-11
Igor Chislenko,Soviet Union,11,MF, (1939-01-04),26,,Dynamo Moscow,Soviet Union,1966-07-11
Valery Voronin,Soviet Union,12,MF, (1939-07-17),46,,Torpedo Moscow,Soviet Union,1966-07-11
Alexey Korneyev,Soviet Union,13,DF, (1939-02-06),4,,Spartak Moscow,Soviet Union,1966-07-11
Georgi Sichinava,Soviet Union,14,MF, (1944-09-15),5,,Dinamo Tbilisi,Soviet Union,1966-07-11
Galimzyan Khusainov,Soviet Union,15,FW, (1937-06-27),26,,Spartak Moscow,Soviet Union,1966-07-11
Slava Metreveli,Soviet Union,16,FW, (1936-05-30),42,,Dinamo Tbilisi,Soviet Union,1966-07-11
Valeriy Porkujan,Soviet Union,17,FW, (1944-10-04),0,,Dynamo Kyiv,Soviet Union,1966-07-11
Anatoliy Banishevskiy,Soviet Union,18,FW, (1946-02-23),13,,Neftyanik Baku,Soviet Union,1966-07-11
Eduard Malofeyev,Soviet Union,19,FW, (1942-06-02),15,,Dinamo Minsk,Soviet Union,1966-07-11
Eduard Markarov,Soviet Union,20,FW, (1942-06-20),1,,Neftyanik Baku,Soviet Union,1966-07-11
Anzor Kavazashvili,Soviet Union,21,GK, (1940-07-19),9,,Torpedo Moscow,Soviet Union,1966-07-11
Viktor Bannikov,Soviet Union,22,GK, (1938-04-28),7,,Dynamo Kyiv,Soviet Union,1966-07-11
