Player,National Team,No.,Pos.,Date of birth (age),Caps,Goals,Club,Club Origin
Antal Szentmihályi,Hungary,1,GK, (1939-06-13),20,,Újpesti Dózsa,Hungary
Benő Káposzta,Hungary,2,DF, (1942-06-07),3,,Újpesti Dózsa,Hungary
Sándor Mátrai,Hungary,3,DF, (1932-11-20),71,,Ferencvárosi,Hungary
Kálmán Sóvári,Hungary,4,DF, (1940-12-21),16,,Újpesti Dózsa,Hungary
Kálmán Mészöly,Hungary,5,DF, (1941-07-16),37,,Vasas,Hungary
Ferenc Sipos (captain),Hungary,6,MF, (1932-12-13),71,,Budapest Honvéd,Hungary
Ferenc Bene,Hungary,7,FW, (1944-12-17),17,,Újpesti Dózsa,Hungary
Zoltán Varga,Hungary,8,MF, (1945-01-01),3,,Ferencvárosi,Hungary
Flórián Albert,Hungary,9,FW, (1941-09-15),51,,Ferencvárosi,Hungary
János Farkas,Hungary,10,FW, (1942-03-27),13,,Vasas,Hungary
Gyula Rákosi,Hungary,11,MF, (1938-10-09),27,,Ferencvárosi,Hungary
Máté Fenyvesi,Hungary,12,FW, (1933-09-20),76,,Ferencvárosi,Hungary
Imre Mathesz,Hungary,13,MF, (1937-03-25),5,,Vasas,Hungary
István Nagy,Hungary,14,MF, (1939-04-14),19,,MTK Hungária,Hungary
Dezső Molnár,Hungary,15,FW, (1939-12-02),1,,Vasas,Hungary
Lajos Tichy,Hungary,16,FW, (1935-03-21),71,,Budapest Honvéd,Hungary
Gusztáv Szepesi,Hungary,17,DF, (1939-07-17),2,,Tatabányai Bányász,Hungary
Kálmán Ihász,Hungary,18,DF, (1941-03-06),9,,Vasas,Hungary
Lajos Puskás,Hungary,19,FW, (1944-08-03),2,,Vasas,Hungary
Antal Nagy,Hungary,20,FW, (1944-05-16),3,,Budapest Honvéd,Hungary
József Gelei,Hungary,21,GK, (1938-06-29),7,,Tatabányai Bányász,Hungary
István Géczi,Hungary,22,GK, (1944-06-13),2,,Ferencváros,Hungary
